task	cohort
b8825c91	ambiguous
67e8384a	ambiguous
9172f3a0	ambiguous
d631b094	ambiguous
3c9b0459	ambiguous
a416b8f3	ambiguous
496994bd	ambiguous
3af2c5a8	ambiguous
99b1bc43	ambiguous
1cf80156	ambiguous
3428a4f5	ambiguous
6150a2bd	ambiguous
be94b721	ambiguous
0520fde7	ambiguous
ed36ccf7	ambiguous
1e0a9b12	ambiguous
5582e5ca	ambiguous
f2829549	ambiguous
1f85a75f	ambiguous
74dd1130	ambiguous
c59eb873	ambiguous
f25ffba3	ambiguous
ce4f8723	ambiguous
1190e5a7	unfitted
c444b776	unfitted
85c4e7cd	unfitted
3de23699	unfitted
1c786137	unfitted
53b68214	unfitted
444801d8	unfitted
d9f24cd1	unfitted
a78176bb	unfitted
32597951	unfitted
952a094c	unfitted
b0c4d837	unfitted
a85d4709	unfitted
6f8cd79b	unfitted
6e19193c	unfitted
67385a82	unfitted
5bd6f4ac	unfitted
2dd70a9a	unfitted
0dfd9992	unfitted
810b9b61	unfitted
045e512c	unfitted
50846271	unfitted
ff28f65a	unfitted
b94a9452	unfitted
