d9f24cd1 full: 0 surviving, competitive false, recoverable false
6d0aefbc full: 1 surviving, competitive false, recoverable false
6d0aefbc two-pair: 1 surviving, competitive false, recoverable false
d9f24cd1 two-pair: 0 surviving, competitive false, recoverable false
28bf18c6 full: 1 surviving, competitive false, recoverable false
28bf18c6 two-pair: 1 surviving, competitive false, recoverable false
1190e5a7 full: 0 surviving, competitive false, recoverable false
b0c4d837 full: 0 surviving, competitive false, recoverable false
b0c4d837 two-pair: 0 surviving, competitive false, recoverable false
32597951 full: 0 surviving, competitive false, recoverable false
6f8cd79b full: 0 surviving, competitive false, recoverable false
6f8cd79b two-pair: 0 surviving, competitive false, recoverable false
a78176bb full: 0 surviving, competitive false, recoverable false
53b68214 full: 0 surviving, competitive false, recoverable false
a85d4709 full: 0 surviving, competitive false, recoverable false
1190e5a7 two-pair: 0 surviving, competitive false, recoverable false
6e19193c full: 0 surviving, competitive false, recoverable false
a85d4709 two-pair: 0 surviving, competitive false, recoverable false
32597951 two-pair: 0 surviving, competitive false, recoverable false
67385a82 full: 2 surviving, competitive false, recoverable false
67385a82 two-pair: 2 surviving, competitive false, recoverable false
6e19193c two-pair: 0 surviving, competitive false, recoverable false
444801d8 full: 0 surviving, competitive false, recoverable false
53b68214 two-pair: 0 surviving, competitive false, recoverable false
a78176bb two-pair: 0 surviving, competitive false, recoverable false
85c4e7cd full: 0 surviving, competitive false, recoverable false
3de23699 full: 0 surviving, competitive false, recoverable false
2dd70a9a full: 0 surviving, competitive false, recoverable false
810b9b61 full: 0 surviving, competitive false, recoverable false
3de23699 two-pair: 0 surviving, competitive false, recoverable false
810b9b61 two-pair: 0 surviving, competitive false, recoverable false
85c4e7cd two-pair: 0 surviving, competitive false, recoverable false
444801d8 two-pair: 0 surviving, competitive false, recoverable false
2dd70a9a two-pair: 0 surviving, competitive false, recoverable false
ff28f65a full: 0 surviving, competitive false, recoverable false
ff28f65a two-pair: 0 surviving, competitive false, recoverable false
952a094c full: 0 surviving, competitive false, recoverable false
c444b776 full: 0 surviving, competitive false, recoverable false
5c0a986e full: 0 surviving, competitive false, recoverable false
1c786137 full: 0 surviving, competitive false, recoverable false
5c0a986e two-pair: 0 surviving, competitive false, recoverable false
50846271 full: 0 surviving, competitive false, recoverable false
27a28665 full: 0 surviving, competitive false, recoverable false
b94a9452 full: 0 surviving, competitive false, recoverable false
27a28665 two-pair: 0 surviving, competitive false, recoverable false
623ea044 full: 0 surviving, competitive false, recoverable false
50846271 two-pair: 0 surviving, competitive false, recoverable false
5bd6f4ac full: 0 surviving, competitive false, recoverable false
952a094c two-pair: 0 surviving, competitive false, recoverable false
0a938d79 full: 0 surviving, competitive false, recoverable false
3ac3eb23 full: 0 surviving, competitive false, recoverable false
b94a9452 two-pair: 0 surviving, competitive false, recoverable false
623ea044 two-pair: 0 surviving, competitive false, recoverable false
d9fac9be full: 1 surviving, competitive false, recoverable false
ce9e57f2 full: 0 surviving, competitive false, recoverable false
ce9e57f2 two-pair: 0 surviving, competitive false, recoverable false
d9fac9be two-pair: 1 surviving, competitive false, recoverable false
3ac3eb23 two-pair: 0 surviving, competitive false, recoverable false
88a62173 full: 4 surviving, competitive false, recoverable false
67e8384a full: 1 surviving, competitive false, recoverable false
b8825c91 full: 1 surviving, competitive false, recoverable false
88a62173 two-pair: 9 surviving, competitive true, recoverable true
0a938d79 two-pair: 0 surviving, competitive false, recoverable false
5bd6f4ac two-pair: 0 surviving, competitive false, recoverable false
67e8384a two-pair: 1 surviving, competitive false, recoverable false
c444b776 two-pair: 0 surviving, competitive false, recoverable false
7f4411dc full: 0 surviving, competitive false, recoverable false
1c786137 two-pair: 0 surviving, competitive false, recoverable false
bbc9ae5d full: 0 surviving, competitive false, recoverable false
bbc9ae5d two-pair: 0 surviving, competitive false, recoverable false
6e02f1e3 full: 0 surviving, competitive false, recoverable false
0dfd9992 full: 0 surviving, competitive false, recoverable false
6e02f1e3 two-pair: 0 surviving, competitive false, recoverable false
b2862040 full: 0 surviving, competitive false, recoverable false
7468f01a full: 5 surviving, competitive false, recoverable false
7f4411dc two-pair: 0 surviving, competitive false, recoverable false
8efcae92 full: 0 surviving, competitive false, recoverable false
ea786f4a full: 0 surviving, competitive false, recoverable false
b2862040 two-pair: 0 surviving, competitive false, recoverable false
2bee17df full: 0 surviving, competitive false, recoverable false
ea786f4a two-pair: 0 surviving, competitive false, recoverable false
d4a91cb9 full: 0 surviving, competitive false, recoverable false
2bee17df two-pair: 0 surviving, competitive false, recoverable false
b8825c91 two-pair: 1 surviving, competitive false, recoverable false
8efcae92 two-pair: 0 surviving, competitive false, recoverable false
d4a91cb9 two-pair: 0 surviving, competitive false, recoverable false
dae9d2b5 full: 1 surviving, competitive false, recoverable false
9172f3a0 full: 1 surviving, competitive false, recoverable false
dae9d2b5 two-pair: 1 surviving, competitive false, recoverable false
272f95fa full: 0 surviving, competitive false, recoverable false
995c5fa3 full: 0 surviving, competitive false, recoverable false
995c5fa3 two-pair: 0 surviving, competitive false, recoverable false
9172f3a0 two-pair: 1 surviving, competitive false, recoverable false
7468f01a two-pair: 5 surviving, competitive false, recoverable false
a79310a0 full: 1 surviving, competitive false, recoverable false
045e512c full: 0 surviving, competitive false, recoverable false
a79310a0 two-pair: 1 surviving, competitive false, recoverable false
e3497940 full: 1 surviving, competitive false, recoverable false
90f3ed37 full: 0 surviving, competitive false, recoverable false
4be741c5 full: 0 surviving, competitive false, recoverable false
90f3ed37 two-pair: 0 surviving, competitive false, recoverable false
caa06a1f full: 0 surviving, competitive false, recoverable false
4be741c5 two-pair: 0 surviving, competitive false, recoverable false
3befdf3e full: 0 surviving, competitive false, recoverable false
caa06a1f two-pair: 0 surviving, competitive false, recoverable false
82819916 full: 0 surviving, competitive false, recoverable false
a48eeaf7 full: 0 surviving, competitive false, recoverable false
31aa019c full: 0 surviving, competitive false, recoverable false
a48eeaf7 two-pair: 0 surviving, competitive false, recoverable false
e3497940 two-pair: 1 surviving, competitive false, recoverable false
0dfd9992 two-pair: 0 surviving, competitive false, recoverable false
272f95fa two-pair: 0 surviving, competitive false, recoverable false
2281f1f4 full: 0 surviving, competitive false, recoverable false
82819916 two-pair: 0 surviving, competitive false, recoverable false
3befdf3e two-pair: 0 surviving, competitive false, recoverable false
c8cbb738 full: 0 surviving, competitive false, recoverable false
2281f1f4 two-pair: 0 surviving, competitive false, recoverable false
d23f8c26 full: 0 surviving, competitive false, recoverable false
a65b410d full: 0 surviving, competitive false, recoverable false
