6d0aefbc: baseline fit 36, relation fit 0, new oracle false
d9f24cd1: baseline fit 0, relation fit 0, new oracle false
b0c4d837: baseline fit 0, relation fit 0, new oracle false
28bf18c6: baseline fit 2, relation fit 0, new oracle false
32597951: baseline fit 0, relation fit 0, new oracle false
53b68214: baseline fit 0, relation fit 0, new oracle false
6f8cd79b: baseline fit 0, relation fit 0, new oracle false
67385a82: baseline fit 2, relation fit 0, new oracle false
a85d4709: baseline fit 0, relation fit 0, new oracle false
a78176bb: baseline fit 0, relation fit 0, new oracle false
6e19193c: baseline fit 0, relation fit 0, new oracle false
1190e5a7: baseline fit 0, relation fit 0, new oracle false
85c4e7cd: baseline fit 0, relation fit 0, new oracle false
2dd70a9a: baseline fit 0, relation fit 0, new oracle false
3de23699: baseline fit 0, relation fit 0, new oracle false
ff28f65a: baseline fit 0, relation fit 0, new oracle false
444801d8: baseline fit 0, relation fit 0, new oracle false
810b9b61: baseline fit 0, relation fit 0, new oracle false
5c0a986e: baseline fit 0, relation fit 0, new oracle false
27a28665: baseline fit 0, relation fit 0, new oracle false
50846271: baseline fit 0, relation fit 0, new oracle false
623ea044: baseline fit 0, relation fit 0, new oracle false
952a094c: baseline fit 0, relation fit 0, new oracle false
0a938d79: baseline fit 0, relation fit 0, new oracle false
3ac3eb23: baseline fit 0, relation fit 0, new oracle false
7f4411dc: baseline fit 0, relation fit 0, new oracle false
c444b776: baseline fit 0, relation fit 0, new oracle false
b94a9452: baseline fit 0, relation fit 0, new oracle false
ce9e57f2: baseline fit 0, relation fit 0, new oracle false
1c786137: baseline fit 0, relation fit 0, new oracle false
88a62173: baseline fit 20, relation fit 0, new oracle false
d9fac9be: baseline fit 1, relation fit 0, new oracle false
8efcae92: baseline fit 0, relation fit 0, new oracle false
67e8384a: baseline fit 70, relation fit 0, new oracle false
bbc9ae5d: baseline fit 0, relation fit 0, new oracle false
6e02f1e3: baseline fit 0, relation fit 0, new oracle false
b8825c91: baseline fit 4, relation fit 0, new oracle false
ea786f4a: baseline fit 0, relation fit 0, new oracle false
